Date,Open,High,Low,Close,Volume
02/16/2024,"14.58","14.77","14.49","14.65","19,378,949"
02/15/2024,"14.34","14.65","14.25","14.60","29,174,141"
02/14/2024,"14.27","14.32","13.76","14.06","32,433,090"
02/13/2024,"14.50","14.50","14.02","14.15","31,242,580"
02/12/2024,"14.69","14.80","14.54","14.73","19,310,109"
02/09/2024,"14.80","14.80","14.58","14.67","17,190,199"
02/08/2024,"14.91","14.97","14.73","14.82","23,142,990"
02/07/2024,"15.00","15.07","14.89","14.93","22,404,529"
02/06/2024,"15.22","15.23","15.01","15.03","20,584,449"
02/05/2024,"15.19","15.30","15.09","15.17","19,506,891"
02/02/2024,"15.49","15.52","15.20","15.41","24,403,039"
02/01/2024,"15.78","16.05","15.50","15.89","20,311,311"
01/31/2024,"15.76","16.07","15.55","15.60","25,064,551"
01/30/2024,"15.81","15.91","15.56","15.68","13,835,980"
01/29/2024,"15.69","15.74","15.46","15.70","17,398,891"
01/26/2024,"15.67","15.84","15.52","15.53","16,142,000"
01/25/2024,"15.74","15.74","15.54","15.59","17,401,910"
01/24/2024,"16.26","16.36","15.53","15.53","22,914,590"
01/23/2024,"15.78","16.07","15.72","15.99","18,271,100"
01/22/2024,"15.42","15.65","15.33","15.59","13,851,740"
01/19/2024,"15.62","15.67","15.45","15.61","14,500,790"
01/18/2024,"15.58","15.60","15.33","15.53","17,680,170"
01/17/2024,"15.62","15.68","15.42","15.56","26,323,910"
01/16/2024,"17.28","17.31","15.95","15.96","36,002,391"
01/12/2024,"17.58","17.82","17.50","17.64","16,466,520"
01/11/2024,"17.38","17.49","16.94","17.15","14,181,440"
01/10/2024,"17.44","17.52","17.20","17.34","13,048,900"
01/09/2024,"17.69","17.70","17.37","17.40","14,814,110"
01/08/2024,"17.39","17.92","17.31","17.69","18,051,869"
01/05/2024,"17.44","17.72","17.27","17.49","16,573,199"
01/04/2024,"17.38","17.47","17.05","17.35","20,467,250"
01/03/2024,"17.46","17.82","17.07","17.33","24,485,480"
01/02/2024,"18.02","18.23","17.82","17.88","13,275,370"
12/29/2023,"18.02","18.10","17.83","18.09","11,958,530"
12/28/2023,"18.36","18.42","18.08","18.09","12,089,360"
12/27/2023,"18.23","18.54","18.23","18.47","12,680,990"
12/26/2023,"18.31","18.32","18.07","18.17","6,466,234"
12/22/2023,"18.30","18.55","18.16","18.16","21,278,580"
12/21/2023,"18.09","18.17","17.89","17.97","15,472,590"
12/20/2023,"18.11","18.13","17.75","17.77","15,083,690"
12/19/2023,"17.74","18.24","17.73","18.09","17,240,609"
12/18/2023,"17.58","17.75","17.45","17.73","14,976,220"
12/15/2023,"17.58","17.65","17.41","17.51","19,955,279"
12/14/2023,"17.59","17.96","17.57","17.65","20,143,840"
12/13/2023,"16.31","17.43","16.26","17.43","21,027,449"
12/12/2023,"16.71","16.72","16.26","16.34","13,450,930"
12/11/2023,"16.60","16.71","16.43","16.67","13,620,650"
12/08/2023,"16.87","17.03","16.67","16.79","18,257,391"
12/07/2023,"17.42","17.46","17.11","17.22","14,132,090"
12/06/2023,"17.51","17.64","17.34","17.36","12,854,080"
12/05/2023,"17.41","17.52","17.23","17.42","16,180,470"
12/04/2023,"17.60","17.65","17.37","17.53","20,875,480"
12/01/2023,"17.56","17.79","17.51","17.73","23,008,010"
