Date,Open,High,Low,Close,Volume
02/16/2024,"11.32","11.39","11.06","11.18","861,159"
02/15/2024,"10.02","11.34","10.01","11.27","2,331,246"
02/14/2024,"9.50","9.50","9.31","9.45","476,761"
02/13/2024,"9.89","9.89","9.37","9.43","681,900"
02/12/2024,"9.90","10.16","9.85","10.07","301,769"
02/09/2024,"10.02","10.07","9.88","9.93","648,084"
02/08/2024,"10.12","10.22","10.00","10.01","408,748"
02/07/2024,"10.34","10.44","10.22","10.22","328,200"
02/06/2024,"10.41","10.51","10.30","10.40","643,810"
02/05/2024,"10.39","10.45","10.17","10.42","347,734"
02/02/2024,"10.67","10.67","10.41","10.58","448,666"
02/01/2024,"10.61","11.01","10.61","10.97","342,757"
01/31/2024,"10.71","11.04","10.51","10.51","558,237"
01/30/2024,"10.86","10.90","10.61","10.71","474,838"
01/29/2024,"10.45","10.93","10.25","10.86","463,423"
01/26/2024,"10.46","10.53","10.40","10.40","264,670"
01/25/2024,"10.54","10.54","10.28","10.46","222,511"
01/24/2024,"10.66","10.68","10.18","10.31","403,124"
01/23/2024,"10.47","10.57","10.28","10.47","304,373"
01/22/2024,"10.38","10.52","10.29","10.39","335,561"
01/19/2024,"10.65","10.74","10.38","10.56","223,109"
01/18/2024,"10.73","10.73","10.51","10.63","264,955"
01/17/2024,"10.64","10.71","10.34","10.68","559,649"
01/16/2024,"11.11","11.17","10.78","10.81","366,641"
01/12/2024,"11.24","11.51","11.15","11.25","228,988"
01/11/2024,"11.13","11.16","10.87","10.94","264,480"
01/10/2024,"11.23","11.26","11.06","11.10","228,372"
01/09/2024,"11.28","11.37","11.17","11.21","243,385"
01/08/2024,"11.24","11.45","11.22","11.34","321,555"
01/05/2024,"11.23","11.67","11.11","11.37","548,194"
01/04/2024,"11.79","11.82","11.01","11.17","1,396,707"
01/03/2024,"11.52","12.12","11.39","11.86","957,856"
01/02/2024,"12.13","12.13","11.81","11.87","581,868"
12/29/2023,"12.14","12.22","11.81","12.13","506,332"
12/28/2023,"12.85","12.85","12.32","12.32","447,549"
12/27/2023,"12.65","13.00","12.64","12.96","366,256"
12/26/2023,"12.70","12.80","12.55","12.71","241,373"
12/22/2023,"12.75","13.14","12.54","12.57","452,301"
12/21/2023,"12.44","12.56","12.35","12.45","327,565"
12/20/2023,"12.40","12.53","12.24","12.27","455,118"
12/19/2023,"12.32","12.64","12.30","12.38","532,015"
12/18/2023,"12.32","12.42","12.07","12.30","412,187"
12/15/2023,"12.04","12.30","11.99","12.17","789,817"
12/14/2023,"12.25","12.56","11.97","12.16","696,949"
12/13/2023,"10.90","11.85","10.86","11.84","534,867"
12/12/2023,"11.13","11.13","10.71","10.86","687,933"
12/11/2023,"11.32","11.35","10.95","11.18","527,788"
12/08/2023,"11.00","11.54","10.89","11.53","1,043,244"
12/07/2023,"11.39","11.43","11.10","11.14","403,415"
12/06/2023,"11.74","11.74","11.38","11.39","424,918"
12/05/2023,"12.22","12.27","11.59","11.60","448,213"
12/04/2023,"12.40","12.66","12.18","12.31","701,006"
12/01/2023,"12.29","12.65","12.20","12.65","510,317"
11/30/2023,"12.40","12.45","12.24","12.39","514,592"
11/29/2023,"12.41","12.47","12.11","12.38","488,751"
11/28/2023,"12.31","12.40","12.07","12.39","710,938"
11/27/2023,"11.80","12.22","11.80","12.19","625,034"
11/24/2023,"11.36","11.72","11.36","11.66","144,625"
11/22/2023,"11.72","11.82","11.31","11.37","341,899"
11/21/2023,"11.73","11.96","11.67","11.70","386,160"
11/20/2023,"11.56","11.76","11.45","11.53","274,828"
11/17/2023,"11.80","11.90","11.57","11.62","242,944"
11/16/2023,"11.77","11.90","11.62","11.73","341,379"
11/15/2023,"11.88","11.88","11.56","11.67","367,078"
11/14/2023,"11.10","11.86","11.05","11.79","502,223"
11/13/2023,"10.74","11.09","10.62","10.90","248,112"
11/10/2023,"10.96","10.97","10.67","10.87","378,246"
11/09/2023,"11.06","11.42","10.96","11.03","365,928"
11/08/2023,"11.06","11.19","10.98","11.00","264,469"
